0,144,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,114,120,0,0,0,0,0,0,0,0,0
0,0,0,37,36,0,0,0,0,0,0,0,0,0,0,0,0
278,0,37,0,0,88,0,208,0,0,0,0,0,0,0,0,0
0,0,36,0,0,41,0,0,0,0,0,0,0,0,0,0,0
0,0,0,88,41,0,0,0,0,0,182,0,0,0,0,0,0
0,114,0,0,0,0,0,157,306,0,0,0,0,0,0,0,0
0,120,0,208,0,0,157,0,298,258,316,0,0,0,0,0,0
0,0,0,0,0,0,306,298,0,174,0,0,0,0,0,0,0
0,0,0,0,0,0,0,258,174,0,353,0,0,0,0,0,275
0,0,0,0,0,182,0,316,0,353,0,85,0,0,0,0,224
0,0,0,0,0,0,0,0,0,0,85,0,64,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,64,0,74,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,74,0,86,0,187
0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,143,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,179
0,0,0,0,0,0,0,0,0,275,224,0,0,187,0,179,0
